timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1549475628712,-0.143311,-0.635559,-0.762024,-0.091463,-0.076220,-0.228659
1549475628719,-0.141479,-0.642151,-0.763550,0.030488,-0.137195,-0.243902
1549475628734,-0.142090,-0.639099,-0.758789,0.121951,-0.152439,-0.274390
1549475628742,-0.146240,-0.641479,-0.755066,0.152439,-0.167683,-0.335366
1549475628749,-0.146423,-0.646729,-0.759766,0.152439,-0.198171,-0.411585
1549475628757,-0.149475,-0.659790,-0.762085,0.274390,-0.213415,-0.442073
1549475628772,-0.153503,-0.665344,-0.764648,0.381098,-0.304878,-0.472561
1549475628779,-0.155090,-0.659058,-0.768372,0.396341,-0.396341,-0.457317
1549475628786,-0.156250,-0.652771,-0.764465,0.320122,-0.472561,-0.426829
1549475628802,-0.152893,-0.647522,-0.756226,0.320122,-0.579268,-0.442073
1549475628809,-0.149719,-0.639587,-0.754578,0.442073,-0.640244,-0.457317
1549475628817,-0.142761,-0.645386,-0.761536,0.640244,-0.701219,-0.472561
1549475628831,-0.138733,-0.665527,-0.764099,0.914634,-0.746951,-0.457317
1549475628839,-0.141052,-0.674377,-0.764404,1.021341,-0.807927,-0.304878
1549475628847,-0.135925,-0.657043,-0.771240,0.731707,-0.640244,-0.060976
1549475628861,-0.131592,-0.634766,-0.771118,0.426829,-0.503049,0.137195
1549475628869,-0.129822,-0.635986,-0.763855,0.503049,-0.548781,0.152439
1549475628877,-0.134338,-0.646301,-0.758118,0.823171,-0.548781,0.198171
1549475628891,-0.139038,-0.655029,-0.758423,0.990854,-0.472561,0.213415
1549475628900,-0.147827,-0.661987,-0.762939,0.884146,-0.365854,0.182927
1549475628907,-0.150696,-0.667358,-0.762146,0.746951,-0.304878,0.274390
1549475628922,-0.156799,-0.664490,-0.765259,0.609756,-0.213415,0.365854
1549475628936,-0.160645,-0.660034,-0.761597,0.503049,-0.259146,0.457317
1549475628937,-0.163452,-0.662048,-0.755127,0.518293,-0.335366,0.472561
1549475628951,-0.157349,-0.660583,-0.748413,0.625000,-0.426829,0.426829
1549475628959,-0.153198,-0.661560,-0.742432,0.701219,-0.487805,0.381098
1549475628967,-0.149292,-0.664429,-0.746277,0.594512,-0.487805,0.289634
1549475628981,-0.148071,-0.666321,-0.755798,0.487805,-0.442073,0.228659
1549475628989,-0.149780,-0.666260,-0.760864,0.320122,-0.411585,0.182927
1549475628997,-0.148010,-0.663696,-0.766113,0.228659,-0.335366,0.167683
1549475629011,-0.147156,-0.663696,-0.767456,0.243902,-0.320122,0.167683
1549475629019,-0.145935,-0.658875,-0.760498,0.274390,-0.335366,0.182927
1549475629027,-0.142029,-0.651794,-0.751953,0.228659,-0.289634,0.121951
1549475629041,-0.140564,-0.652100,-0.751221,0.060976,-0.289634,0.000000
1549475629049,-0.141357,-0.660400,-0.756287,-0.060976,-0.289634,-0.106707
1549475629057,-0.142029,-0.667725,-0.757751,-0.030488,-0.350610,-0.121951
1549475629071,-0.144531,-0.664795,-0.759094,-0.045732,-0.426829,-0.091463
1549475629079,-0.147644,-0.658875,-0.758728,-0.091463,-0.487805,-0.060976
1549475629087,-0.151001,-0.656738,-0.756531,-0.121951,-0.503049,-0.030488
1549475629101,-0.148560,-0.653076,-0.750916,-0.030488,-0.533537,-0.015244
1549475629110,-0.151245,-0.652954,-0.748047,0.106707,-0.548781,0.000000
1549475629117,-0.154358,-0.659241,-0.756348,0.106707,-0.518293,0.015244
1549475629131,-0.154785,-0.660767,-0.759827,0.045732,-0.426829,0.015244
1549475629139,-0.155457,-0.660217,-0.761597,0.015244,-0.365854,0.060976
1549475629147,-0.158203,-0.661865,-0.765564,0.091463,-0.335366,0.030488
1549475629161,-0.157593,-0.660767,-0.762573,0.198171,-0.350610,0.030488
1549475629169,-0.160583,-0.660889,-0.759216,0.335366,-0.274390,-0.015244
1549475629177,-0.159485,-0.655151,-0.758362,0.365854,-0.213415,-0.091463
1549475629191,-0.160156,-0.653992,-0.757141,0.289634,-0.106707,-0.106707
1549475629199,-0.155518,-0.656677,-0.758972,0.182927,-0.015244,-0.060976
1549475629207,-0.150879,-0.656006,-0.762573,0.152439,0.015244,0.045732
1549475629221,-0.149353,-0.655945,-0.764587,0.091463,0.015244,0.121951
1549475629229,-0.149353,-0.654053,-0.761963,-0.015244,0.000000,0.198171
1549475629237,-0.147400,-0.656982,-0.757935,0.030488,-0.060976,0.289634
1549475629251,-0.144287,-0.660522,-0.751343,0.121951,-0.152439,0.243902
1549475629259,-0.144409,-0.664551,-0.748413,0.198171,-0.198171,0.182927
1549475629267,-0.146729,-0.664734,-0.754578,0.198171,-0.213415,0.121951
1549475629281,-0.149170,-0.668701,-0.756714,0.137195,-0.182927,0.000000
1549475629289,-0.149109,-0.668213,-0.758423,0.045732,-0.167683,-0.076220
1549475629297,-0.149170,-0.662476,-0.759155,0.000000,-0.167683,-0.137195
1549475629304,-0.147705,-0.659729,-0.759460,-0.106707,-0.152439,-0.259146
1549475629319,-0.146118,-0.657715,-0.760315,-0.182927,-0.152439,-0.335366
1549475629326,-0.143494,-0.656433,-0.759155,-0.137195,-0.167683,-0.365854
1549475629334,-0.142090,-0.655273,-0.757385,-0.137195,-0.152439,-0.365854
1549475629349,-0.143433,-0.653259,-0.759644,-0.137195,-0.167683,-0.365854
1549475629357,-0.144470,-0.654907,-0.760254,-0.076220,-0.182927,-0.289634
1549475629364,-0.145081,-0.656006,-0.760193,-0.045732,-0.198171,-0.259146
1549475629379,-0.148193,-0.660034,-0.759888,-0.045732,-0.167683,-0.304878
1549475629386,-0.148865,-0.663025,-0.761536,-0.091463,-0.167683,-0.320122
1549475629394,-0.150452,-0.665649,-0.761108,-0.213415,-0.137195,-0.396341
1549475629409,-0.148621,-0.660583,-0.762024,-0.411585,-0.076220,-0.472561
1549475629416,-0.150879,-0.658875,-0.758667,-0.548781,-0.060976,-0.533537
1549475629424,-0.153137,-0.653992,-0.752930,-0.472561,-0.060976,-0.564024
1549475629439,-0.153625,-0.654785,-0.754395,-0.243902,-0.091463,-0.503049
1549475629447,-0.157104,-0.661377,-0.755859,-0.015244,-0.106707,-0.442073
1549475629455,-0.156982,-0.659485,-0.760315,0.015244,-0.045732,-0.396341
1549475629469,-0.155334,-0.653931,-0.762207,-0.045732,0.060976,-0.365854
1549475629477,-0.151062,-0.659302,-0.760986,-0.076220,0.137195,-0.335366
1549475629492,-0.148560,-0.654724,-0.765991,-0.015244,0.213415,-0.274390
1549475629499,-0.143921,-0.650024,-0.769409,-0.015244,0.243902,-0.198171
1549475629507,-0.139282,-0.650452,-0.765808,-0.045732,0.274390,-0.121951
1549475629514,-0.133911,-0.649353,-0.762695,-0.106707,0.228659,-0.030488
1549475629529,-0.132629,-0.645325,-0.757446,-0.243902,0.213415,0.000000
1549475629536,-0.133606,-0.648132,-0.753235,-0.274390,0.137195,0.000000
1549475629551,-0.133301,-0.653564,-0.749756,-0.228659,0.000000,-0.030488
1549475629559,-0.134216,-0.656006,-0.749146,-0.076220,-0.152439,-0.015244
1549475629567,-0.140320,-0.659912,-0.749329,0.045732,-0.335366,0.000000
1549475629574,-0.147949,-0.666016,-0.751831,0.121951,-0.487805,0.030488
1549475629589,-0.153076,-0.665466,-0.754578,0.182927,-0.625000,0.045732
1549475629597,-0.154358,-0.660095,-0.759216,0.167683,-0.701219,0.091463
1549475629604,-0.153687,-0.657227,-0.761536,0.076220,-0.731707,0.121951
1549475629619,-0.149658,-0.652222,-0.760620,0.030488,-0.762195,0.121951
1549475629627,-0.146851,-0.653076,-0.763916,0.121951,-0.762195,0.167683
1549475629634,-0.143616,-0.652283,-0.766663,0.213415,-0.731707,0.167683
1549475629649,-0.142212,-0.650818,-0.766357,0.213415,-0.701219,0.182927
1549475629657,-0.141602,-0.652161,-0.764465,0.106707,-0.609756,0.228659
1549475629664,-0.139771,-0.652588,-0.762207,0.030488,-0.564024,0.289634
1549475629679,-0.139648,-0.654236,-0.760620,-0.015244,-0.518293,0.335366
1549475629693,-0.145508,-0.652344,-0.757507,-0.076220,-0.426829,0.350610
1549475629695,-0.150574,-0.651855,-0.754883,0.000000,-0.396341,0.335366
1549475629709,-0.157043,-0.654846,-0.754639,0.182927,-0.426829,0.320122
1549475629717,-0.160400,-0.660461,-0.749390,0.426829,-0.487805,0.304878
1549475629724,-0.160400,-0.664551,-0.754211,0.609756,-0.472561,0.335366
1549475629739,-0.158691,-0.664185,-0.756958,0.655488,-0.442073,0.396341
1549475629747,-0.154236,-0.662231,-0.759338,0.533537,-0.426829,0.442073
1549475629761,-0.151611,-0.655396,-0.763306,0.442073,-0.381098,0.457317
1549475629769,-0.149414,-0.653442,-0.767212,0.381098,-0.365854,0.503049
1549475629776,-0.150696,-0.652161,-0.766357,0.259146,-0.365854,0.457317
1549475629784,-0.149414,-0.652222,-0.766357,0.167683,-0.335366,0.426829
1549475629800,-0.147156,-0.653564,-0.762756,0.152439,-0.335366,0.426829
1549475629807,-0.143677,-0.655579,-0.760437,0.121951,-0.365854,0.396341
1549475629814,-0.143066,-0.658936,-0.758789,0.076220,-0.381098,0.350610
1549475629829,-0.145325,-0.659973,-0.755127,0.030488,-0.411585,0.320122
1549475629836,-0.146667,-0.657593,-0.755066,0.015244,-0.426829,0.259146
1549475629844,-0.148743,-0.660767,-0.754395,0.076220,-0.426829,0.137195
1549475629859,-0.153076,-0.661621,-0.754150,0.243902,-0.457317,0.106707
1549475629866,-0.155151,-0.662476,-0.754822,0.320122,-0.487805,0.030488
1549475629874,-0.154846,-0.664551,-0.756714,0.274390,-0.411585,-0.015244
1549475629889,-0.153870,-0.663025,-0.761597,0.167683,-0.335366,0.015244
1549475629897,-0.154785,-0.660095,-0.770630,0.060976,-0.259146,-0.015244
1549475629904,-0.153320,-0.652954,-0.769226,-0.030488,-0.198171,-0.015244
1549475629919,-0.148743,-0.646912,-0.763184,-0.015244,-0.152439,0.030488
1549475629926,-0.150757,-0.652832,-0.760010,0.076220,-0.137195,0.015244
1549475629934,-0.145874,-0.654236,-0.757202,0.213415,-0.152439,0.030488
1549475629949,-0.144348,-0.653137,-0.752197,0.259146,-0.213415,0.076220
1549475629956,-0.146729,-0.654663,-0.751221,0.259146,-0.259146,0.091463
1549475629964,-0.150024,-0.655029,-0.751953,0.320122,-0.274390,0.152439
1549475629979,-0.152527,-0.655579,-0.754944,0.426829,-0.320122,0.228659
1549475629987,-0.154541,-0.653809,-0.754639,0.533537,-0.381098,0.304878
1549475630001,-0.156921,-0.652649,-0.757629,0.625000,-0.426829,0.411585
1549475630009,-0.159424,-0.653809,-0.758667,0.685976,-0.442073,0.518293
1549475630017,-0.159302,-0.656372,-0.759155,0.746951,-0.487805,0.594512
1549475630024,-0.160828,-0.659546,-0.759644,0.792683,-0.457317,0.640244
1549475630039,-0.162415,-0.664307,-0.761719,0.807927,-0.396341,0.655488
1549475630047,-0.160706,-0.667725,-0.764648,0.746951,-0.304878,0.640244
1549475630054,-0.160400,-0.669250,-0.763367,0.640244,-0.243902,0.609756
1549475630069,-0.163330,-0.666809,-0.759277,0.579268,-0.213415,0.579268
1549475630077,-0.155273,-0.660156,-0.750061,0.487805,-0.182927,0.503049
1549475630084,-0.151001,-0.654175,-0.745544,0.472561,-0.137195,0.411585
1549475630106,-0.151733,-0.658325,-0.742432,0.609756,-0.121951,0.304878
1549475630113,-0.156372,-0.664856,-0.748108,0.823171,-0.106707,0.274390
1549475630115,-0.161682,-0.669617,-0.755066,0.868902,-0.076220,0.274390
1549475630129,-0.161133,-0.666382,-0.756531,0.625000,-0.076220,0.198171
1549475630137,-0.158447,-0.660156,-0.751770,0.335366,-0.015244,0.106707
1549475630144,-0.154419,-0.660706,-0.750793,0.228659,-0.030488,0.091463
1549475630159,-0.151550,-0.666687,-0.751343,0.350610,-0.152439,0.091463
1549475630173,-0.148132,-0.670105,-0.751587,0.381098,-0.243902,0.106707
1549475630175,-0.144836,-0.667786,-0.753784,0.137195,-0.274390,0.121951
1549475630189,-0.145325,-0.662598,-0.753540,-0.228659,-0.320122,0.121951
1549475630197,-0.146606,-0.658203,-0.750854,-0.411585,-0.381098,0.076220
1549475630204,-0.151001,-0.658936,-0.747803,-0.274390,-0.472561,0.000000
1549475630219,-0.154785,-0.663330,-0.746948,-0.060976,-0.609756,-0.091463
